doctor_id,first_name,last_name,date_of_birth,address,hospital_id
77,Clive,Summers,1985-11-10,"Flat 35, Norman plaza, Daymouth, IG6 7JY",32
78,Catherine,Harris,1959-04-25,"Studio 6, Hugh rest, Lake Harrietton, KW9 6BX",24
79,Christian,Daly,1985-08-27,"27 Scott views, Lake Andrewview, N7 7EU",21
80,Nicola,Kelly,1959-07-25,"Flat 17, Simpson ways, East Jayne, L21 8EH",20
81,Matthew,James,1995-11-17,"4 Mitchell square, Mandyhaven, E87 4TY",5
82,Natalie,Knight,1980-08-08,"6 Marion stream, East Deborah, E53 3PP",31
83,Claire,Robertson,1967-04-29,"1 Simpson lights, Adriantown, KA3 1SD",25
84,Joshua,Watson,1989-09-14,"7 Bethan mews, Stokesland, M5 1YJ",23
85,Danny,Fox,1968-10-27,"Studio 61H, Akhtar mountains, Port Grace, NE8 8DU",38
86,Norman,Hussain,1989-09-14,"1 Carolyn common, Armstrongfurt, W7T 6XA",4
87,Kenneth,Wallace,1993-12-01,"0 Simpson ports, Melanieview, BR3R 7XU",6
88,Tony,Jones,1967-07-02,"83 Steven extension, Smithton, M31 1YQ",35
89,Emily,Barrett,1968-10-21,"9 Warner pass, East Dorothystad, G8E 0RX",8
90,Martin,Williams,1971-09-15,"Studio 4, Phillip views, Shortland, LL5 9DQ",18
91,Denis,Douglas,1964-09-06,"2 Cook fords, Trevorburgh, WR7B 8US",14
92,Kyle,Martin,1976-12-26,"89 Kyle rue, South William, S60 2QJ",37
93,Eric,Anderson,1957-09-28,"26 Stanley court, Neilhaven, M8 8BF",13
94,Helen,Griffin,1982-10-06,"Studio 9, Stuart trail, East Charles, BR73 0RX",20
95,Joseph,Winter,1983-04-04,"Studio 29, Green lodge, Tobyhaven, L3 0XT",6
96,Bryan,Thomas,1990-12-14,"Studio 22J, Saunders fall, Tonychester, W69 2HY",5
97,Justin,Law,1991-09-14,"0 Webster mall, Smithshire, CA4W 6FJ",37
98,Nicholas,Sutton,1979-05-08,"Studio 70, Rosemary wall, Turnerview, E0 2DD",25
99,Donald,Jackson,1965-12-12,"Studio 71, Potts burgs, West Paulbury, SN44 9XP",9
100,Frances,Ali,1978-09-11,"Flat 2, Davies parks, Port Bethanyberg, RG5 1PZ",14
